"","location","date","new_cases"
"188","Gambia",2020-09-20,22
"189","Gambia",2020-09-21,0
"190","Gambia",2020-09-22,14
"191","Gambia",2020-09-23,2
"192","Gambia",2020-09-24,10
"193","Gambia",2020-09-25,3
"194","Gambia",2020-09-26,0
"195","Gambia",2020-09-27,14
"196","Gambia",2020-09-28,0
"197","Gambia",2020-09-29,10
"198","Gambia",2020-09-30,0
"199","Gambia",2020-10-01,5
"200","Gambia",2020-10-02,1
"201","Gambia",2020-10-03,5
"202","Gambia",2020-10-04,4
"203","Gambia",2020-10-05,0
"204","Gambia",2020-10-06,19
"205","Gambia",2020-10-07,0
"206","Gambia",2020-10-08,4
"207","Gambia",2020-10-09,4
"208","Gambia",2020-10-10,7
"209","Gambia",2020-10-11,4
"210","Gambia",2020-10-12,4
"211","Gambia",2020-10-13,0
"212","Gambia",2020-10-14,6
"213","Gambia",2020-10-15,2
"214","Gambia",2020-10-16,5
"215","Gambia",2020-10-17,0
"216","Gambia",2020-10-18,0
"217","Gambia",2020-10-19,0
"218","Gambia",2020-10-20,6
"219","Gambia",2020-10-21,2
"220","Gambia",2020-10-22,2
"221","Gambia",2020-10-23,0
"222","Gambia",2020-10-24,0
"223","Gambia",2020-10-25,1
"224","Gambia",2020-10-26,5
"225","Gambia",2020-10-27,1
"226","Gambia",2020-10-28,0
"227","Gambia",2020-10-29,0
"228","Gambia",2020-10-30,4
"229","Gambia",2020-10-31,2
"230","Gambia",2020-11-01,0
"231","Gambia",2020-11-02,0
"232","Gambia",2020-11-03,7
"233","Gambia",2020-11-04,1
"234","Gambia",2020-11-05,1
"235","Gambia",2020-11-06,3
"236","Gambia",2020-11-07,0
"237","Gambia",2020-11-08,0
"238","Gambia",2020-11-09,12
"239","Gambia",2020-11-10,0
"240","Gambia",2020-11-11,1
"241","Gambia",2020-11-12,0
"242","Gambia",2020-11-13,1
"243","Gambia",2020-11-14,4
"244","Gambia",2020-11-15,0
"245","Gambia",2020-11-16,3
"246","Gambia",2020-11-17,0
"247","Gambia",2020-11-18,0
"248","Gambia",2020-11-19,0
"249","Gambia",2020-11-20,1
"250","Gambia",2020-11-21,20
"251","Gambia",2020-11-22,0
"252","Gambia",2020-11-23,0
"253","Gambia",2020-11-24,0
"254","Gambia",2020-11-25,1
"255","Gambia",2020-11-26,1
"256","Gambia",2020-11-27,3
"257","Gambia",2020-11-28,0
"258","Gambia",2020-11-29,3
"259","Gambia",2020-11-30,8
"260","Gambia",2020-12-01,1
"261","Gambia",2020-12-02,22
"262","Gambia",2020-12-03,2
"263","Gambia",2020-12-04,1
"264","Gambia",2020-12-05,2
"265","Gambia",2020-12-06,0
"266","Gambia",2020-12-07,0
"267","Gambia",2020-12-08,6
"268","Gambia",2020-12-09,0
"269","Gambia",2020-12-10,1
"270","Gambia",2020-12-11,2
"271","Gambia",2020-12-12,0
"272","Gambia",2020-12-13,3
"273","Gambia",2020-12-14,0
"274","Gambia",2020-12-15,3
"275","Gambia",2020-12-16,1
"276","Gambia",2020-12-17,0
"277","Gambia",2020-12-18,0
"278","Gambia",2020-12-19,0
"279","Gambia",2020-12-20,0
"280","Gambia",2020-12-21,0
"281","Gambia",2020-12-22,5
"282","Gambia",2020-12-23,0
"283","Gambia",2020-12-24,0
"284","Gambia",2020-12-25,0
"285","Gambia",2020-12-26,0
"286","Gambia",2020-12-27,2
"287","Gambia",2020-12-28,0
"288","Gambia",2020-12-29,4
"289","Gambia",2020-12-30,0
"290","Gambia",2020-12-31,0
"291","Gambia",2021-01-01,3
"292","Gambia",2021-01-02,0
"293","Gambia",2021-01-03,0
"294","Gambia",2021-01-04,0
"295","Gambia",2021-01-05,12
"296","Gambia",2021-01-06,0
"297","Gambia",2021-01-07,21
"298","Gambia",2021-01-08,5
"299","Gambia",2021-01-09,3
"300","Gambia",2021-01-10,16
"301","Gambia",2021-01-11,0
"302","Gambia",2021-01-12,19
"303","Gambia",2021-01-13,9
"304","Gambia",2021-01-14,8
"305","Gambia",2021-01-15,4
"306","Gambia",2021-01-16,0
"307","Gambia",2021-01-17,13
"308","Gambia",2021-01-18,23
"309","Gambia",2021-01-19,5
"310","Gambia",2021-01-20,0
"311","Gambia",2021-01-21,12
"312","Gambia",2021-01-22,8
"313","Gambia",2021-01-23,0
"314","Gambia",2021-01-24,14
"315","Gambia",2021-01-25,36
"316","Gambia",2021-01-26,4
"317","Gambia",2021-01-27,7
"318","Gambia",2021-01-28,0
"319","Gambia",2021-01-29,0
"320","Gambia",2021-01-30,71
"321","Gambia",2021-01-31,0
"322","Gambia",2021-02-01,49
"323","Gambia",2021-02-02,0
"324","Gambia",2021-02-03,45
"325","Gambia",2021-02-04,0
"326","Gambia",2021-02-05,0
"327","Gambia",2021-02-06,53
"328","Gambia",2021-02-07,0
"329","Gambia",2021-02-08,65
"330","Gambia",2021-02-09,0
"331","Gambia",2021-02-10,0
"332","Gambia",2021-02-11,0
"333","Gambia",2021-02-12,0
"334","Gambia",2021-02-13,0
"335","Gambia",2021-02-14,112
"336","Gambia",2021-02-15,0
"337","Gambia",2021-02-16,55
"338","Gambia",2021-02-17,0
"339","Gambia",2021-02-18,41
"340","Gambia",2021-02-19,33
"341","Gambia",2021-02-20,11
"342","Gambia",2021-02-21,0
"343","Gambia",2021-02-22,0
"344","Gambia",2021-02-23,58
"345","Gambia",2021-02-24,28
"346","Gambia",2021-02-25,31
"347","Gambia",2021-02-26,20
"348","Gambia",2021-02-27,0
"349","Gambia",2021-02-28,21
"350","Gambia",2021-03-01,0
"351","Gambia",2021-03-02,0
"352","Gambia",2021-03-03,23
"353","Gambia",2021-03-04,24
"354","Gambia",2021-03-05,0
"355","Gambia",2021-03-06,0
"356","Gambia",2021-03-07,0
"357","Gambia",2021-03-08,33
"358","Gambia",2021-03-09,0
"359","Gambia",2021-03-10,0
"360","Gambia",2021-03-11,0
"361","Gambia",2021-03-12,147
"362","Gambia",2021-03-13,46
"363","Gambia",2021-03-14,0
"364","Gambia",2021-03-15,34
"365","Gambia",2021-03-16,0
"366","Gambia",2021-03-17,66
"367","Gambia",2021-03-18,37
"368","Gambia",2021-03-19,31
"369","Gambia",2021-03-20,0
"370","Gambia",2021-03-21,102
"371","Gambia",2021-03-22,0
"372","Gambia",2021-03-23,0
"373","Gambia",2021-03-24,48
"374","Gambia",2021-03-25,0
"375","Gambia",2021-03-26,62
"376","Gambia",2021-03-27,0
"377","Gambia",2021-03-28,36
"378","Gambia",2021-03-29,19
"379","Gambia",2021-03-30,27
"380","Gambia",2021-03-31,12
"381","Gambia",2021-04-01,0
"382","Gambia",2021-04-02,0
"383","Gambia",2021-04-03,46
"384","Gambia",2021-04-04,0
"385","Gambia",2021-04-05,0
"386","Gambia",2021-04-06,59
"387","Gambia",2021-04-07,0
"388","Gambia",2021-04-08,0
"389","Gambia",2021-04-09,0
"390","Gambia",2021-04-10,38
"391","Gambia",2021-04-11,0
"392","Gambia",2021-04-12,0
"393","Gambia",2021-04-13,0
"394","Gambia",2021-04-14,80
"395","Gambia",2021-04-15,12
"396","Gambia",2021-04-16,26
"397","Gambia",2021-04-17,0
"398","Gambia",2021-04-18,0
"399","Gambia",2021-04-19,0
"400","Gambia",2021-04-20,64
"401","Gambia",2021-04-21,4
"402","Gambia",2021-04-22,32
"403","Gambia",2021-04-23,0
"404","Gambia",2021-04-24,37
"405","Gambia",2021-04-25,0
"406","Gambia",2021-04-26,0
"407","Gambia",2021-04-27,25
"408","Gambia",2021-04-28,3
"409","Gambia",2021-04-29,2
"410","Gambia",2021-04-30,11
"411","Gambia",2021-05-01,0
"412","Gambia",2021-05-02,3
"413","Gambia",2021-05-03,0
"414","Gambia",2021-05-04,13
"415","Gambia",2021-05-05,0
"416","Gambia",2021-05-06,11
"417","Gambia",2021-05-07,0
"418","Gambia",2021-05-08,0
"419","Gambia",2021-05-09,4
"420","Gambia",2021-05-10,0
"421","Gambia",2021-05-11,5
"422","Gambia",2021-05-12,0
"423","Gambia",2021-05-13,0
"424","Gambia",2021-05-14,6
"425","Gambia",2021-05-15,0
"426","Gambia",2021-05-16,0
"427","Gambia",2021-05-17,17
"428","Gambia",2021-05-18,0
"429","Gambia",2021-05-19,9
"430","Gambia",2021-05-20,2
"431","Gambia",2021-05-21,0
"432","Gambia",2021-05-22,0
"433","Gambia",2021-05-23,0
"434","Gambia",2021-05-24,10
"435","Gambia",2021-05-25,0
"436","Gambia",2021-05-26,0
"437","Gambia",2021-05-27,12
"438","Gambia",2021-05-28,0
"439","Gambia",2021-05-29,0
"440","Gambia",2021-05-30,0
"441","Gambia",2021-05-31,3
"442","Gambia",2021-06-01,0
"443","Gambia",2021-06-02,0
"444","Gambia",2021-06-03,2
"445","Gambia",2021-06-04,4
"446","Gambia",2021-06-05,0
"447","Gambia",2021-06-06,0
"448","Gambia",2021-06-07,3
"449","Gambia",2021-06-08,0
"450","Gambia",2021-06-09,0
"451","Gambia",2021-06-10,0
"452","Gambia",2021-06-11,6
"453","Gambia",2021-06-12,0
"454","Gambia",2021-06-13,0
"455","Gambia",2021-06-14,8
"456","Gambia",2021-06-15,0
"457","Gambia",2021-06-16,8
"458","Gambia",2021-06-17,0
"459","Gambia",2021-06-18,0
"460","Gambia",2021-06-19,0
